"Month/year","CPI"
"Jan 1983","97.9"
"Feb 1983","98"
"Mar 1983","98.1"
"Apr 1983","98.8"
"May 1983","99.2"
"Jun 1983","99.4"
"Jul 1983","99.8"
"Aug 1983","100.1"
"Sep 1983","100.4"
"Oct 1983","100.8"
"Nov 1983","101.1"
"Dec 1983","101.4"
"Jan 1984","102.1"
"Feb 1984","102.6"
"Mar 1984","102.9"
"Apr 1984","103.3"
"May 1984","103.5"
"Jun 1984","103.7"
"Jul 1984","104.1"
"Aug 1984","104.4"
"Sep 1984","104.7"
"Oct 1984","105.1"
"Nov 1984","105.3"
"Dec 1984","105.5"
"Jan 1985","105.7"
"Feb 1985","106.3"
"Mar 1985","106.8"
"Apr 1985","107"
"May 1985","107.2"
"Jun 1985","107.5"
"Jul 1985","107.7"
"Aug 1985","107.9"
"Sep 1985","108.1"
"Oct 1985","108.5"
"Nov 1985","109"
"Dec 1985","109.5"
"Jan 1986","109.9"
"Feb 1986","109.7"
"Mar 1986","109.1"
"Apr 1986","108.7"
"May 1986","109"
"Jun 1986","109.4"
"Jul 1986","109.5"
"Aug 1986","109.6"
"Sep 1986","110"
"Oct 1986","110.2"
"Nov 1986","110.4"
"Dec 1986","110.8"
"Jan 1987","111.4"
"Feb 1987","111.8"
"Mar 1987","112.2"
"Apr 1987","112.7"
"May 1987","113"
"Jun 1987","113.5"
"Jul 1987","113.8"
"Aug 1987","114.3"
"Sep 1987","114.7"
"Oct 1987","115"
"Nov 1987","115.4"
"Dec 1987","115.6"
"Jan 1988","116"
"Feb 1988","116.2"
"Mar 1988","116.5"
"Apr 1988","117.2"
"May 1988","117.5"
"Jun 1988","118"
"Jul 1988","118.5"
"Aug 1988","119"
"Sep 1988","119.5"
"Oct 1988","119.9"
"Nov 1988","120.3"
"Dec 1988","120.7"
"Jan 1989","121.2"
"Feb 1989","121.6"
"Mar 1989","122.2"
"Apr 1989","123.1"
"May 1989","123.7"
"Jun 1989","124.1"
"Jul 1989","124.5"
"Aug 1989","124.5"
"Sep 1989","124.8"
"Oct 1989","125.4"
"Nov 1989","125.9"
"Dec 1989","126.3"
"Jan 1990","127.5"
"Feb 1990","128"
"Mar 1990","128.6"
"Apr 1990","128.9"
"May 1990","129.1"
"Jun 1990","129.9"
"Jul 1990","130.5"
"Aug 1990","131.6"
"Sep 1990","132.5"
"Oct 1990","133.4"
"Nov 1990","133.7"
"Dec 1990","134.2"
"Jan 1991","134.7"
"Feb 1991","134.8"
"Mar 1991","134.8"
"Apr 1991","135.1"
"May 1991","135.6"
"Jun 1991","136"
"Jul 1991","136.2"
"Aug 1991","136.6"
"Sep 1991","137"
"Oct 1991","137.2"
"Nov 1991","137.8"
"Dec 1991","138.2"
"Jan 1992","138.3"
"Feb 1992","138.6"
"Mar 1992","139.1"
"Apr 1992","139.4"
"May 1992","139.7"
"Jun 1992","140.1"
"Jul 1992","140.5"
"Aug 1992","140.8"
"Sep 1992","141.1"
"Oct 1992","141.7"
"Nov 1992","142.1"
"Dec 1992","142.3"
"Jan 1993","142.8"
"Feb 1993","143.1"
"Mar 1993","143.3"
"Apr 1993","143.8"
"May 1993","144.2"
"Jun 1993","144.3"
"Jul 1993","144.5"
"Aug 1993","144.8"
"Sep 1993","145"
"Oct 1993","145.6"
"Nov 1993","146"
"Dec 1993","146.3"
"Jan 1994","146.3"
"Feb 1994","146.7"
"Mar 1994","147.1"
"Apr 1994","147.2"
"May 1994","147.5"
"Jun 1994","147.9"
"Jul 1994","148.4"
"Aug 1994","149"
"Sep 1994","149.3"
"Oct 1994","149.4"
"Nov 1994","149.8"
"Dec 1994","150.1"
"Jan 1995","150.5"
